filename,total_fns,total_statements,unsafe_fns,unsafe_statements,unwraps,static_mut_items
src/keyc_mouse_key.rs,0,0,0,0,0,0
src/layout.rs,33,537,33,197,4,0
src/layout_custom.rs,8,190,8,37,2,0
src/layout_set.rs,12,394,12,191,0,0
src/lib.rs,23,114,13,31,1,0
src/libc.rs,52,137,50,60,0,0
src/log.rs,11,63,1,18,5,0
src/main.rs,1,17,0,6,1,0
src/menu_.rs,12,339,12,116,2,0
src/mode_tree.rs,41,627,41,197,18,0
src/names.rs,6,86,6,46,0,0
src/ncurses_.rs,0,0,0,0,0,0
src/notify.rs,12,178,12,98,0,0
src/options_.rs,61,674,55,248,1,0
src/options_table.rs,0,125,0,125,0,25
src/osdep.rs,6,79,6,47,0,2
src/paste.rs,17,151,15,89,0,5
src/popup.rs,18,437,14,199,2,0
src/proc.rs,17,190,17,110,6,0
src/regsub.rs,3,51,3,19,0,0
src/resize.rs,10,212,10,55,4,0
src/screen_.rs,26,373,26,167,0,1
src/screen_redraw.rs,19,441,19,195,2,0
src/screen_write.rs,68,1244,68,608,1,1
src/server.rs,17,271,17,112,0,12
src/server_acl.rs,10,62,9,26,0,1
src/server_client.rs,57,1391,56,442,3,3
src/server_fn.rs,26,230,26,74,0,0
src/session_.rs,38,358,36,181,0,3
src/spawn.rs,3,285,3,62,0,0
src/status.rs,49,1134,49,406,15,2
src/style_.rs,7,228,7,50,8,2
src/tmux.rs,15,290,12,89,1,10
src/tmux_protocol.rs,0,1,0,0,0,0
src/tty_.rs,117,1564,117,695,4,3
src/tty_acs.rs,8,46,8,23,0,0
src/tty_features.rs,4,58,4,16,0,1
src/tty_keys.rs,17,672,17,258,0,0
src/tty_term_.rs,19,546,19,100,0,4
src/utempter.rs,0,0,0,0,0,0
src/utf8.rs,34,341,27,140,0,3
src/utf8_combined.rs,4,19,4,9,0,0
src/window-copy.rs,0,0,0,0,0,0
src/window_.rs,82,898,79,397,3,3
src/window_buffer.rs,18,244,18,131,3,2
src/window_client.rs,13,168,13,93,2,2
src/window_clock.rs,6,106,6,67,1,1
src/window_copy.rs,193,3039,193,1582,4,1
src/window_customize.rs,37,785,37,291,1,0
src/window_tree.rs,33,717,33,329,7,2
src/xmalloc.rs,21,79,12,19,2,0
